"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","ADOT"
"","40693","53041","263288","bba755a2-63b6-4ac1-b806-0609816135de","Rico Dowdle","Panthers","05","HB","55.2","39","289","17","49","41","310","7.6","1","14","2","1","0","42","0","0","373","9.1","-1.1"
"","40912","47791","279646","bd1120b6-38b3-4225-a4b0-20660a149d0d","T.J. Hockenson","Vikings","87","TE","62.6","64","445","134","67","51","438","8.6","3","22","4","0","0","57","7","3","224","4.4","5.3"
"","40951","53079","259490","4475bb8a-b5a6-4527-bfc7-8e7e03900984","Reggie Gilliam","Bills","41","FB","52.3","3","40","4","3","2","24","12.0","0","1","0","0","0","2","0","0","2","1.0","8.0"
"","41372","54683","278770","f96b8338-4ffb-4612-8c29-58dc3b12db69","Ko Kieft","Buccaneers","41","TE","54.6","1","4","1","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","41668","53646","196701","02af99e0-3c84-4d4e-937a-a9f29a02323b","Khalil Herbert","Jets","31","HB","31.9","2","19","1","3","1","4","4.0","0","0","1","0","0","2","0","0","9","9.0","-4.3"
"","41933","52526","281893","617aee8a-70be-4bdf-9a71-2e2b74e647e6","Albert Okwuegbunam","Raiders","86","TE","72.7","6","25","9","6","5","36","7.2","0","2","0","0","0","5","1","0","34","6.8","3.8"
"","42058","53946","279825","0560d134-d316-4cda-9d48-34d32267af68","Jack Stoll","Saints","88","TE","59","7","50","7","10","6","46","7.7","1","2","0","0","0","6","2","2","18","3.0","4.8"
"","42130","46170","195797","ed8a8fd2-df67-45e7-a34f-984afb82f6ea","Ian Thomas","Raiders","80","TE","67.1","10","90","18","13","13","114","8.8","0","5","0","0","0","13","0","0","76","5.8","2.9"
"","42237","48646","282490","4484c7d1-025a-4f26-8e9b-48503afb0c68","Greg Dortch","Cardinals","04","WR","61.4","25","226","66","36","31","217","7.0","3","10","2","0","0","33","4","2","214","6.9","1.5"
"","42247","48541","259700","b7f930af-ddd2-4a48-9617-96bda81b0334","Lil'Jordan Humphrey","Broncos","17","WR","57.9","33","251","101","31","16","194","12.1","2","11","1","0","0","19","7","2","34","2.1","13.6"
"","42257","52598","195531","527dfee0-a242-4dc7-830a-ab7028308259","Charlie Woerner","Falcons","89","TE","47.6","10","134","28","8","8","48","6.0","0","2","0","0","0","8","1","1","37","4.6","1.4"
"","42266","52934","194449","0f369885-8ecd-4ca0-a3dc-df8530a0db6e","Sean McKeon","Colts","49","TE","54","0","3","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","42275","53553","279874","3208880b-949f-4926-85eb-1940770550ea","John Bates","Commanders","87","TE","55.3","15","141","31","15","11","103","9.4","1","6","1","0","0","12","2","0","69","6.3","4.9"
"","42353","53574","278502","8a1f0e8e-6521-4a94-9934-ad4f76a25fd9","Luke Farrell","49ers","89","TE","46.8","17","157","31","15","12","86","7.2","2","6","1","1","1","13","3","2","56","4.7","2.8"
"","42388","47803","195637","cdc98acc-9eb6-4b44-81bb-61d7b8a3b55f","Noah Fant","Bengals","86","TE","56.6","31","226","71","38","34","288","8.5","3","13","1","3","3","35","4","3","177","5.2","3.7"
"","42683","47839","261193","fe6dc768-d576-476c-b150-53b85af2a1d1","Mecole Hardman Jr.","Bills","16","WR","63.6","3","13","7","3","1","4","4.0","1","1","0","0","0","2","1","0","2","2.0","23.0"
"","43742","47802","259274","dcbe3642-aa52-43e6-8f4c-4b9809377c4d","Jeffery Simmons","Titans","98","DI","81.5","1","1","1","1","1","1","1.0","1","1","0","0","0","1","0","0","0","0.0","9.0"
"","44771","46263","160314","4501e6f4-4683-4357-b241-8b4a0b6aae81","Russell Gage","49ers","14","WR","51.6","0","20","13","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","7.0"
"","44920","48374","173340","d8281390-f081-41e5-b55e-75779536fe94","Olamide Zaccheaus","Bears","14","WR","56.3","48","380","140","69","41","330","8.1","3","16","7","0","0","50","12","8","151","3.7","7.8"
"","45719","47856","196572","1c9e1cd5-8cb1-4a15-a2c8-3a0c0fd5423c","David Montgomery","Lions","05","HB","78.4","22","176","3","26","24","192","8.0","0","11","0","0","0","24","0","0","201","8.4","0.1"
"","45734","47605","159061","f46e812f-14c6-4af8-9316-01a880adebc5","D'Ernest Johnson","Patriots","34","HB","53.2","0","20","2","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","45769","47969","173301","96e6687b-2b89-4dd9-98df-6e7507cd82cf","Ty Johnson","Bills","26","HB","64.5","33","233","31","32","24","263","11.0","2","13","2","1","0","26","1","0","310","12.9","-1.2"
"","45775","47965","196123","478fcd24-2617-41d5-a900-b272aa6ef515","Trayveon Williams","Browns","38","HB","63.5","5","54","3","8","8","55","6.9","0","2","0","0","0","8","0","0","85","10.6","-3.8"
"","45783","46104","158545","4bd60b33-9fbf-4156-ba2b-8264ac37b418","Nick Chubb","Texans","21","HB","52.1","13","154","4","20","14","80","5.7","0","1","1","0","0","16","2","1","81","5.8","1.0"
"","45791","46071","174233","9811b753-347c-467a-b3cb-85937e71e2b9","Saquon Barkley","Eagles","26","HB","46.8","52","368","29","55","41","309","7.5","2","12","4","1","1","46","2","0","347","8.5","1.1"
"","45851","46203","160485","d8d9b161-7ef4-42bf-89b7-7edf806a0ad1","Chase Edmonds","Commanders","38","HB","60","0","1","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
